Row #,Species,Count,Location,S/P,Date,LocID,SubID
56,Dunkler Wasserläufer - Tringa erythropus,,Illmitz-Hölle,AT-1,22 May 2015,L1505438,S27828767
57,Grünschenkel - Tringa nebularia,1,Warmblueterkoppel,AT-1,29 Apr 2017,L1647202,S36612334
58,Bruchwasserläufer - Tringa glareola,2,Warmblueterkoppel,AT-1,28 Apr 2017,L1647202,S36611824
59,Rotschenkel - Tringa totanus,,Lange Lacke,AT-1,21 May 2015,L1103773,S27828194
60,Lachmöwe - Chroicocephalus ridibundus,,Gols,AT-1,20 May 2015,L4312168,S27827277
61,Zwergmöwe - Hydrocoloeus minutus,,Warmblueterkoppel,AT-1,22 May 2015,L1647202,S27828806
62,Schwarzkopfmöwe - Ichthyaetus melanocephalus,,Warmblueterkoppel,AT-1,21 May 2015,L1647202,S27828666
63,Mittelmeermöwe - Larus michahellis,,Warmblueterkoppel,AT-1,21 May 2015,L1647202,S27828666
64,Steppenmöwe - Larus cachinnans,,Zicksee,AT-1,11 Dec 2015,L1776021,S27831963
65,Heringsmöwe - Larus fuscus,1,Sandeck,AT-1,30 Apr 2017,L5797160,S36614370
66,Zwergseeschwalbe - Sternula albifrons,,Zicklacke,AT-1,22 May 2015,L1775989,S27828845
67,Raubseeschwalbe - Hydroprogne caspia,2,Sandeck,AT-1,30 Apr 2017,L5797160,S36614370
68,Weiβflügel-Seeschwalbe - Chlidonias leucopterus,,Lange Lacke,AT-1,20 May 2015,L1103773,S27828024
69,Fluβseeschwalbe - Sterna hirundo,,Zicklacke,AT-1,22 May 2015,L1775989,S27828845
70,Felsentaube/Stra§entaube - Columba livia,,Gols,AT-1,20 May 2015,L4312168,S27827277
71,Ringeltaube - Columba palumbus,,Gols,AT-1,20 May 2015,L4312168,S27827277
72,Turteltaube - Streptopelia turtur,3,Zicklacke,AT-1,28 Apr 2017,L1775989,S36612269
73,Türkentaube - Streptopelia decaocto,,Gols,AT-1,20 May 2015,L4312168,S27827277
